participant,Group,category,category_type,selectedItems,UnselectedItems,TrialTime,corAns,Miss,session
1,NT,objects found in the laundry room,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects found in the laundry room/detergent powder.png', 330.90998101234436], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects found in the laundry room/ironing board.png', 342.6697509288788], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects found in the laundry room/detergent.png', 350.5902268886566], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//objects found in the laundry room/washing machine.png', 357.43172097206116]]",[],47.39559817,4,0,1
1,NT,small objects,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//small objects/coin.png', 378.549192905426], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//small objects/buttons.png', 380.80712604522705], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//small objects/key.png', 389.04714798927307], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//small objects/microschip.png', 393.94345593452454]]",[],31.77641916,4,0,1
1,NT,things that are brown,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are brown/cupboards.png', 409.6326570510864], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are brown/shoe.png', 412.07230591773987], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are brown/basket.png', 415.3129439353943], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are brown/chopping board 15.png', 424.07241582870483]]",[],31.28789592,4,0,1
1,NT,things made of wood,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood/hammer.png', 447.00017499923706], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood/skateboard.png', 456.18613386154175], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/nightgown.png', 462.1702609062195], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/casserole dish.png', 465.25006198883057], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/Marshmallow.png', 466.8255479335785], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/nightgown.png', 468.6254060268402], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood/hammer.png', 473.8265700340271], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/Marshmallow.png', 479.81950783729553], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood/pipe.png', 493.8747239112854]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/nightgown.png', 463.70520997047424], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood/hammer.png', 472.4793219566345], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/Marshmallow.png', 475.2746410369873], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/nightgown.png', 478.51373291015625], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things made of wood//not/casserole dish.png', 482.52278184890747]]",62.65284181,3,1,1
1,NT,things that are round,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/ferris wheel.png', 503.4114439487457], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/dartboard.png', 507.5951900482178], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/clock.png', 515.1183688640594], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/globe.png', 519.2863478660583], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round//not/necktie.png', 541.0040018558502], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/clock.png', 551.532378911972]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/globe.png', 520.1560490131378], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round/clock.png', 549.5019760131836], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are round//not/necktie.png', 553.1028819084167]]",64.12206101,3,0,1
1,NT,things that fly,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly//not/pan.png', 570.5123538970947], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly/owl.png', 576.4368619918823], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly/bird.png', 579.3328189849854], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly/helicopter.png', 584.0126860141754], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly//not/architect.png', 599.485268831253], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly//not/hippopotamus.png', 601.431056022644], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly/bird2.png', 603.5123798847198]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly//not/pan.png', 572.9474999904633], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//things that fly//not/architect.png', 600.7017378807068]]",49.14247704,4,1,1
1,NT,things with handles,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with handles/doors.png', 616.9357368946075], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with handles/bags.png', 620.3100910186768], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with handles/bucket.png', 632.6434328556061], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with handles/pots.png', 640.870110988617]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with handles/pots.png', 642.1986539363861]]",34.5712142,3,0,1
1,NT,animals with stripes,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//animals with stripes/caterpillar.png', 654.1198768615723], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//animals with stripes/squirrel.png', 661.1278269290924], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//animals with stripes/deer.png', 672.4553129673004]]",[],33.75149798,3,0,1
1,NT,things that are red,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/tulip.png', 685.8485150337219], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/motorbike.png', 697.6805100440979], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/motorbike.png', 706.8474199771881], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/chair.png', 710.3458058834076], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/letterbox.png', 712.9001829624176]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/motorbike.png', 702.8961310386658], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are red/letterbox.png', 714.0413098335266]]",40.40291905,3,0,1
1,NT,things with doors,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with doors/garage.png', 727.4579119682312], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with doors/toaster.png', 739.5144510269165], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things with doors/telephone box.png', 743.6735420227051]]",[],39.87637401,3,0,1
1,NT,tools,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//tools/electric drill2.png', 765.4932398796082], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//tools/spring clamp.png', 775.8515648841858], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//tools/trowel.png', 781.0354118347168], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//tools/wire cutter.png', 795.7075488567352], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//tools//not/000802_c141_0034_cslp.png', 804.0840299129486]]",[],55.41658187,4,1,1
1,NT,things that are green,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/weights.png', 821.371551990509], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/cabbage.png', 836.5963790416718], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/artichoke.png', 840.2532458305359], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/train.png', 851.2534039020538], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/train.png', 853.2777080535889]]","[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are green/train.png', 852.2932920455933]]",40.33497,4,0,1
1,NT,non food things found in the kitchen,HD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//non food things found in the kitchen/tray.png', 881.585510969162], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//non food things found in the kitchen/food processor.png', 904.686714887619], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//non food things found in the kitchen//not/dragonfly 5.png', 908.2227120399475], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/HD//non food things found in the kitchen/kettle.png', 912.5519979000092]]",[],61.67383385,3,1,1
1,NT,things that are orange,LD,"[[u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are orange/butterfly.png', 924.0796899795532], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are orange/jug.png', 941.8162260055542], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are orange/pumpkin.png', 948.3856780529022], [u'/Users/jacksantossilva/Dropbox/GridExperiment/categories/LD//things that are orange/petrol can.png', 951.1033918857574]]",[],45.26685119,4,0,1
